"mDA_D0_2"	"mDA_D0_3"	"mDA_D0_1"	"mDA_D28_3"	"mDA_D28_2"	"mDA_D28_1"	"mDA_D42_1"	"mDA_D42_2"	"mDA_D42_3"
164.162619714041	148.155704221651	177.915192672742	671.792197601844	757.279910612203	661.501030473887	732.939699741295	727.173978785072	688.458767706163
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
82.9275089277117	97.0067110975094	320.748516367759	1018.9990834032	1128.70767629343	834.442476349413	1703.05939964218	1456.79635480511	1495.92510113509
0	0	0	0.34275112122543	0	0	0	0	1.19007565722759
3.38479628276374	14.1100670687286	30.0701734094775	190.912374522565	169.486456184636	119.329597654113	151.581203109514	137.110245158128	142.809078867311
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
3.38479628276374	12.3463086851376	22.5526300571081	22.6215740008784	23.4396162808539	12.9706084406645	3.56661654375326	1.63226482331105	24.3965509731657
0	0	0	0	0	0	0	0	0
0	0	0	0.34275112122543	3.60609481243906	0	1.78330827187663	0.816132411655524	0.595037828613797
52.464342382838	52.9127515077324	30.0701734094775	643.343854540133	760.886005424642	623.453912381272	564.417068048954	525.589273106157	611.103849986369
201.395378824443	255.744965620707	268.125712901174	91.5145493671899	102.773702154513	75.2295289558539	68.6573684672503	60.3937984625087	86.2804851490006
96.4666940587666	42.3302012061859	22.5526300571081	22.278822879653	32.4548533119516	12.9706084406645	52.6075940203606	22.0355751146991	44.6278371460348
42.3099535345468	88.187919179554	45.1052601142162	10.2825336367629	11.7198081404269	16.429437358175	8.91654135938315	17.9549130564215	23.8015131445519
47.3871479586924	54.6765098913235	10.0233911364925	26.3918363343581	28.8487584995125	23.347095193196	121.264962487611	56.3131364042311	77.3549177197936
138.776647593313	112.880536549829	67.6578901713243	322.871556194355	359.707957540796	373.553523091136	528.750902611421	535.382862046023	559.930596725583
121.852666179495	162.265771290379	122.786541422033	101.797083003953	56.7959932959152	96.8472096902946	57.9575188359905	69.3712549907195	56.5285937183107
0	0	0	0	5.40914221865859	3.45882891751052	0	3.26452964662209	0
110.005879189822	98.7704694811004	90.2105202284323	261.519105495003	476.004515241956	413.330055642507	466.335113095739	532.118332399401	555.765331925286
13.539185131055	31.7476509046394	0	64.0944596691555	104.576749560733	63.9883349739447	140.881353478254	131.397318276539	111.27207395078
130.314656886404	186.958388660654	32.5760211936006	186.79936106786	355.200339025248	307.835773658436	557.283834961447	549.257113044167	501.021851692817
2130.72925999977	2506.30066308292	6595.39136781205	3465.89933783155	3570.03386431467	3556.54083443019	2966.53331026677	3332.2686367895	3288.77407874846
253.859721207281	276.910066223799	498.663709040501	932.283049733171	667.127540301226	608.753889481852	825.67172987888	679.022166497396	636.690476616763
3.38479628276374	14.1100670687286	92.7163680125555	8.91152915186119	14.4243792497562	19.0235590463079	17.8330827187663	12.2419861748329	8.92556742920696
3.38479628276374	7.05503353436432	0	19.879565031075	8.11371332798789	5.18824337626578	5.34992481562989	15.5065158214549	2.38015131445519
30.4631665448737	44.093959589777	25.0584778412312	1258.58211713978	2070.79994604313	2610.55112549107	997.760978114975	1136.05631702449	1072.25816716206
390.943970659212	511.489931241413	611.426859326041	126.475163732184	199.236738387258	158.241422976106	194.380601634553	176.284600917593	157.685024582656
5058.57804459041	5746.32481373974	6249.58437360306	20042.371813657	15226.7353455239	16105.1721471584	19397.0440732021	17188.564721877	16430.7795615128
0	8.8187919179554	0	0	5.40914221865859	1.72941445875526	3.56661654375326	4.89679446993314	1.19007565722759
235.24334165208	266.327515922253	611.426859326041	793.126094515646	714.006772862934	777.37179921049	657.149098186538	674.941504439118	620.029417415576
0	3.52751676718216	2.50584778412312	2.74200896980344	0	0	0	0	0
0	0	5.01169556824624	0	0	0	2.67496240781495	0	0
0	1.76375838359108	0	0	0	0	0	0	0
5.07719442414561	8.8187919179554	0	4.11301345470516	1.80304740621953	1.72941445875526	17.8330827187663	17.138780644766	16.6610592011863
0	1.76375838359108	0	4.79851569715603	6.31066592176836	1.72941445875526	23.1830075343962	18.771045468077	36.8923453740554
10.1543888482912	0	15.0350867047387	0	0	0	7.13323308750652	10.6097213515218	14.2809078867311
1.69239814138187	3.52751676718216	0	4.11301345470516	2.7045711093293	1.72941445875526	8.02488722344484	9.79358893986628	6.54541611475177
984.975718284249	1081.18388914133	2097.39459531105	3069.33629057373	2779.39757668741	2935.68104373706	2792.6607537588	3061.31267611987	3204.2787070853
793.734728308097	874.824158261175	897.093506716077	1975.96021386461	1485.71106272489	1682.72026836887	1102.08451201976	1087.08837232516	1321.57901735124
13.539185131055	40.5664428225948	57.6344990348318	40.7873834258262	64.9097066239031	40.6412397807486	321.887143073732	221.988015970302	229.089564016312
815.735904146062	885.406708562722	1275.47652211867	2566.52039573602	2370.10581547557	2648.59824358368	1838.59082830481	2066.44726631179	1986.23627191285
44.0023516759286	72.3140937272343	30.0701734094775	461.685760290655	387.655192337199	375.282937549892	438.693834881651	473.356798760204	468.889808947672
597.4165439078	617.315434256878	929.669527909678	7910.69587788293	6904.77004211769	6666.89273850153	6780.13804967495	6112.01563088822	6109.84842420647
367.250396679866	416.246978527495	721.684161827459	219.360717584275	223.577878371222	222.229757950051	385.194586725352	386.030630713063	396.295193856789
1025.59327367741	1218.75704306144	2195.12265889185	3359.98924137289	3719.68679903089	3310.96398128695	3176.96368634822	3564.05024169967	3368.5091477827
162.47022157266	186.958388660654	305.713429663021	867.503087821564	810.469809095679	882.866081194561	851.529699821091	850.409972945056	874.110570233668
89.6971014932391	104.061744631874	117.774845853787	86.7160336700339	64.9097066239031	93.3883807727841	68.6573684672503	66.9228577557529	68.4293502905867
1260.83661532949	1363.3852305159	2949.38284191291	2722.47215589359	2153.74012672923	2168.6857312791	3611.19925055018	3516.71456182365	3226.29510674401
577.107766211218	532.655031844506	388.406406539084	1219.16573819886	1097.15434668458	1308.30203804836	894.32909834613	1034.8558979792	842.573565317137
1.69239814138187	5.29127515077324	0	2.39925784857801	0	0	0.891654135938315	0	1.19007565722759
1375.91968894346	1594.43757876634	4167.22486499675	1922.83379007466	1718.30417812721	2109.88563968142	1494.41233183262	1558.81290626205	1829.74132298743
2927.84878459064	3273.53555994504	3257.60211936006	6568.82523828537	6238.54402551958	5783.16195007759	5332.98338704706	5021.66272891644	5097.6890777344
509.411840555943	529.127515077324	623.956098246657	787.642076576039	832.106377970313	865.571936607008	668.740601953736	661.88338585263	603.36835821439
1198.21788409836	1411.00670687286	1997.16068394613	1509.81868899802	1338.762699118	1472.5964116301	859.554587044536	974.462099516695	1011.56430864345
37.2327591104012	65.2590601928699	20.046782272985	158.008266884923	205.547404309026	178.129689251792	183.680752003293	136.294112746472	164.230440697408
23.6935739793462	10.5825503015465	10.0233911364925	3.4275112122543	13.5228555466465	16.429437358175	40.1244361172242	15.5065158214549	29.1568536020761
49.0795461000742	58.2040266585056	52.6228034665855	3.08476009102887	18.9319977653051	31.9941674869723	16.0497744468897	15.5065158214549	9.52060525782075
446.793109324814	589.095300119421	1080.02039495707	124.418657004831	238.903781324088	369.229986944248	509.134511620778	611.283176329987	592.062639470728
20.3087776965824	15.8738254523197	10.0233911364925	1.02825336367629	6.31066592176836	15.5647301287974	57.0658647000522	62.8421956974753	82.115220348704
462.024692597251	529.127515077324	1290.51160882341	895.265928640824	847.432280923179	675.33634614393	900.570677297698	861.835826708233	972.291811954944
478.948674011069	472.687246802409	1177.74845853787	789.013081060941	649.097066239031	706.465806401524	663.390677138106	553.337775102445	586.11226118459
40.6175553931649	84.6604024123718	70.1637379554474	362.973437377731	311.025677572869	424.571249624417	302.270752083089	388.479027948029	401.650534314313
1636.54900271627	1707.31811531616	2768.96180145605	2867.45588017195	2482.79627836429	2984.1046485822	2688.33721985402	2812.39229056493	2959.71815952503
98.1590922001485	119.935570084193	290.678342958282	376.340731105523	244.312923542746	299.18870136466	549.258947738002	604.754117036743	657.516800618246
548.336997807726	585.567783352238	796.859595351152	3120.06345651509	3106.65068091625	3035.12237511548	4286.18143145548	4221.03683308237	4078.38927731896
23.6935739793462	22.928858986684	0	1.71375560612715	3.60609481243906	0	0	1.63226482331105	3.57022697168278
275.860897045245	321.004025813576	553.79236029121	1505.02017330086	1237.79204436971	1157.84298013665	1125.26751955415	989.96861533815	1146.63789573879
2789.07213699732	2405.76643521823	1814.23379570514	9038.3470667146	7569.19301130959	7914.66527049345	5784.16037983185	5928.38583826572	5710.57804120661
1.69239814138187	0	0	7.19777354573404	9.01523703109765	3.45882891751052	10.6998496312598	0.816132411655524	0.595037828613797
330.017637569465	340.405368033078	330.771907504252	953.190868127922	943.895317155924	794.665943798042	903.245639705513	753.290215958048	755.698042339522
651.57328443202	627.897984558424	403.441493243822	2022.57436635126	1576.76495673898	1463.94933933633	1267.04052716835	1479.64806233146	1410.83469164331
451.870303748959	449.758387815725	436.017514437423	769.133516029866	717.612867675373	665.824566620775	654.474135778723	769.612864191159	482.575679005789
1504.54194768848	1469.21073353137	2480.78930628189	2534.64454146206	1918.44244021758	2035.52081795494	1732.48398612815	1860.78189857459	1863.65847921841
6600.3527513893	6284.27112073502	7723.02287066746	32060.9398794268	29926.0793247287	30931.4423020672	36561.3861900147	36064.8912710576	36219.3575898932
16.9239814138187	21.165100603093	5.01169556824624	9.59703139431205	7.21218962487812	8.64707229377631	34.7745113015943	8.97745652821076	4.76030262891038
